Address ,Price ,Pay For A Year ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
גרציאני יצחק 4,0,12,0,זכרון יעקב,230,קרקע מתוך 3,0,זכרון - בנימינה,דירה
העצמאות 12,"3,800 ₪",12,0,תל אביב יפו,90,3 מתוך 3,1,תל אביב,יחידת דיור
בזל 39,"6,600 ₪",12,0,תל אביב יפו,50,1 מתוך 2,0,תל אביב,דירה
קהילת ורשה 75,"3,500 ₪",12,0,קרית ביאליק,90,10 מתוך 17,1,קריות,דירה
זינגר 11,"5,400 ₪",12,0,פתח תקווה,124,6 מתוך 9,0,פתח תקוה והסביבה,דירה
הרב גולד 1,"3,200 ₪",12,0,שדרות,75,1 מתוך 3,0,באר שבע והסביבה,דירה
יגאל אלון 35,"2,900 ₪",12,2.0,בני דרור,40,קרקע מתוך קרקע,0,מושבים בשרון,דירה
אלון 4,"5,000 ₪",12,0,אשקלון,75,4 מתוך 4,0,אשדוד - אשקלון,יחידת דיור
הצוק 1,"5,300 ₪",12,0,תל אביב יפו,190,קרקע מתוך 5,1,תל אביב,דירה
פרי מגדים 13,"6,500 ₪",12,0,שדרות,300,קרקע מתוך קרקע,1,באר שבע והסביבה,דירה
הרב בן נון 12,"2,500 ₪",12,0,רמת השרון,120,1 מתוך 2,0,רמת השרון - הרצליה,דירה
המלכים 46,"5,800 ₪",12,0,בית שמש,350,קרקע מתוך קרקע,0,בית שמש והסביבה,דירת גן
הארזים 3,"15,000 ₪",12,0,מעלה אדומים,85,2 מתוך 9,0,ירושלים והסביבה,בית פרטי/קוטג'
האבן 8,"7,300 ₪",12,0,באר שבע,200,קרקע מתוך 6,0,באר שבע והסביבה,גג/פנטהאוז
אלפרד רוסי 3,"3,250 ₪",12,4.5,אורנית,52,2 מתוך 2,0,יישובי השומרון,דירת גן
הצבעוני 24,"5,800 ₪",12,0,מעלה אדומים,65,3 מתוך 3,0,ירושלים והסביבה,יחידת דיור
דרך צמח השדה 8,"4,600 ₪",12,0,ירושלים,40,5 מתוך 8,1,ירושלים והסביבה,דירה
"הע""ח 27","4,800 ₪",4,0,רמלה,126,1 מתוך 4,0,רמלה - לוד,סטודיו/לופט
משה לוי 11,"5,000 ₪",12,5.0,נהריה,150,1 מתוך 4,0,עכו - נהריה,דירה
דולב 1,"5,000 ₪",12,0,ירושלים,125,1 מתוך 4,0,ירושלים והסביבה,דירה
הרב עוזיאל 41,"5,600 ₪",12,2.0,בוסתן הגליל,181,2 מתוך 5,0,גליל ועמקים,דירה
שביל השחף 1,"3,500 ₪",12,0,חיפה,120,1 מתוך 3,1,חיפה וחוף הכרמל,דירה
יצחק שדה 51,"3,800 ₪",12,3.0,באר יעקב,110,1 מתוך 1,2,"ראשל""צ והסביבה",דירה
צריפין 2 1,"6,150 ₪",12,0,פתח תקווה,95,2 מתוך 8,0,פתח תקוה והסביבה,דירת גן
הורד 1,"8,500 ₪",12,0,ראשון לציון,150,1 מתוך 2,0,"ראשל""צ והסביבה",דו משפחתי
שדרות יעקב (ג'ירופי) 2,"6,500 ₪",12,5.0,גדרה,130,15 מתוך 26,1,גדרה יבנה והסביבה,יחידת דיור
שבתאי גומברג 7,"8,500 ₪",12,3.5,חדרה,135,13 מתוך 16,2,חדרה וישובי עמק חפר,דו משפחתי
"חטיבת הנח""ל 27","4,100 ₪",12,4.0,תל אביב יפו,130,16 מתוך 25,0,תל אביב,דירה
הגיא 3,"6,000 ₪",12,0,טירת כרמל,110,קרקע מתוך 4,0,חיפה וחוף הכרמל,דירת גן
אלנבי 98,"5,800 ₪",12,2.0,גבעתיים,75,1 מתוך 1,0,רמת גן - גבעתיים,דירה
דוד נורי 33,"2,500 ₪",12,0,נתניה,300,1 מתוך 1,0,נתניה והסביבה,יחידת דיור
מנורה 8,"6,200 ₪",12,0,באר שבע,164,2 מתוך 9,0,באר שבע והסביבה,דירה
דוד רמז 16,"3,450 ₪",12,0,שדרות,80,3 מתוך 3,0,באר שבע והסביבה,דירה
ישראל גלילי 9,"4,500 ₪",12,0,רחובות,141,2 מתוך 9,0,נס ציונה - רחובות,דירת גן
ישעיהו 13,"3,300 ₪",12,0,רמלה,45,3 מתוך 3,0,רמלה - לוד,דירת גן
ה' באייר 30,"6,000 ₪",12,0,נהריה,72,2 מתוך 4,0,עכו - נהריה,דירה
יעקב דורי 1,"6,600 ₪",12,0,יד חנה,120,1 מתוך 3,0,חדרה וישובי עמק חפר,דירה
מעלה החמישה,"5,000 ₪",12,1.0,רמת גן,75,3 מתוך 4,0,רמת גן - גבעתיים,יחידת דיור
חנה סנש 2,"3,200 ₪",12,0,תל אביב יפו,45,1 מתוך 1,0,תל אביב,דירה
סמטת שביל החלב 1,"3,500 ₪",12,0,ראשון לציון,220,קרקע מתוך 2,2,"ראשל""צ והסביבה",יחידת דיור
דרך זאב ז'בוטינסקי 22,"7,350 ₪",12,0,מודיעין מכבים רעות,72,קרקע מתוך 5,0,מודיעין והסביבה,דירה
עולי הגרדום 9,"11,000 ₪",12,5.0,ראשון לציון,90,3 מתוך 3,0,"ראשל""צ והסביבה",דירה
ירושלים 131,"6,800 ₪",12,0,באר שבע,112,7 מתוך 8,0,באר שבע והסביבה,דירה
עפרוני 1,"8,500 ₪",12,0,כפר אדומים,999,12 מתוך 18,0,ירושלים והסביבה,דירה
דודו דותן 3,"7,400 ₪",12,3.0,הרצליה,130,5 מתוך 9,0,רמת השרון - הרצליה,דירה
סוקולוב 8,"3,500 ₪",12,0,יבנה,80,2 מתוך 6,0,גדרה יבנה והסביבה,דירת גן
המייסדים 1,"3,000 ₪",12,0,תל אביב יפו,230,7 מתוך 7,0,תל אביב,דירה
יסוד המעלה 19,"3,500 ₪",12,0,חולון,500,קרקע מתוך קרקע,0,חולון - בת ים,יחידת דיור
השונית 3,"6,800 ₪",12,0,אשדוד,80,3 מתוך 5,0,אשדוד - אשקלון,דירה
"מהר""ל 12","9,000 ₪",12,0,תל אביב יפו,350,1 מתוך 1,0,תל אביב,דירה
אהוד מנור 8,"8,600 ₪",12,0,רמת גן,120,קרקע מתוך 2,0,רמת גן - גבעתיים,דירה
הרב קוק 12,"3,600 ₪",12,0,באר שבע,0,0,1,באר שבע והסביבה,דירה
רמז 8,"5,500 ₪",12,0,פתח תקווה,85,3 מתוך 3,0,פתח תקוה והסביבה,דירה
האגדה 9,"6,600 ₪",12,0,שעלבים,100,3 מתוך 4,1,מודיעין והסביבה,דירה
כחול לבן 10,"2,000 ₪",12,7.0,תל אביב יפו,84,7 מתוך 13,1,תל אביב,דירה
יצחק צוקרמן 1,"4,000 ₪",12,0,חיפה,82,5 מתוך 9,1,חיפה וחוף הכרמל,יחידת דיור
רימון 1,"11,000 ₪",12,0,רחובות,375,קרקע מתוך 2,0,נס ציונה - רחובות,בית פרטי/קוטג'
הרב קוק 33,"12,000 ₪",12,0,חיפה,80,8 מתוך 9,0,חיפה וחוף הכרמל,דירה
סמטת רודן 5,"3,900 ₪",12,0,שדרות,30,קרקע מתוך 1,1,באר שבע והסביבה,דירה
"חזון אי""ש 18","6,200 ₪",12,4.0,אשקלון,80,1 מתוך 1,0,אשדוד - אשקלון,דירה
שדרות אבא חושי 145,"6,455 ₪",1,0,ראשון לציון,75,1 מתוך 1,1,"ראשל""צ והסביבה",דירה
הרב אבא אבוחצירה 1,0,12,0,ראשון לציון,85,1 מתוך 4,3,"ראשל""צ והסביבה",דירה
דרך הים 4,"3,600 ₪",12,0,תל אביב יפו,110,5 מתוך 7,1,תל אביב,דירה
אברבנאל 17,"8,000 ₪",12,0,אילת,140,1 מתוך 1,0,אילת והערבה,גג/פנטהאוז
רמת מגשימים 11,"22,000 ₪",12,0,קרית ביאליק,0,2 מתוך 4,1,קריות,בית פרטי/קוטג'
אבן גבירול 179,"8,800 ₪",12,0,קרית אתא,52,3 מתוך 4,1,קריות,דירה
הצאלון 3,0,12,0,חיפה,70,2 מתוך 5,0,חיפה וחוף הכרמל,תיירות ונופש
חיים 32,"2,750 ₪",12,0,באר שבע,80,2 מתוך 3,0,באר שבע והסביבה,דירת גן
יושיביה,0,12,3.0,יבנה,86,5 מתוך 6,0,גדרה יבנה והסביבה,יחידת דיור
הנביאים 5,"2,500 ₪",12,1.5,ירושלים,0,קרקע מתוך קרקע,0,ירושלים והסביבה,דירה
נחל געתון 414,"4,300 ₪",12,0,זכרון יעקב,75,קרקע מתוך קרקע,0,זכרון - בנימינה,דירת גן
השרון 32,"5,600 ₪",12,0,קרית שמונה,70,1 מתוך 4,1,גליל ועמקים,דירה
תדהר 1,"3,400 ₪",12,5.0,רמת גן,86,1 מתוך 2,1,רמת גן - גבעתיים,דירה
4111 1,"3,100 ₪",12,0,נהריה,90,קרקע מתוך 4,1,עכו - נהריה,יחידת דיור
שדרות הנשיא השישי 22,"7,400 ₪",12,0,קרית אתא,55,קרקע מתוך 2,1,קריות,דירה
ברקת 42,"10,000 ₪",12,0,גבעת אבני,45,3 מתוך 3,0,טבריה והסביבה,בית פרטי/קוטג'
דוד רזיאל 21,"3,000 ₪",12,2.0,יבנה,30,5 מתוך 6,0,גדרה יבנה והסביבה,דירה
בועז 2,"7,500 ₪",12,0,חדרה,70,1 מתוך 5,1,חדרה וישובי עמק חפר,דירה
נופר 3,"2,600 ₪",12,0,חולון,120,1 מתוך 8,0,חולון - בת ים,יחידת דיור
מאפו 7,"3,000 ₪",12,0,יהוד מונוסון,145,3 מתוך 4,1,בקעת אונו,יחידת דיור
האירוסים 4,"3,000 ₪",12,3.0,אשדוד,160,קרקע מתוך קרקע,0,אשדוד - אשקלון,יחידת דיור
האורן 11,"3,300 ₪",12,0,פתח תקווה,60,2 מתוך 3,0,פתח תקוה והסביבה,דירה
משמר הגבול 9,"5,000 ₪",12,0,הוד השרון,150,קרקע מתוך 26,0,הוד השרון והסביבה,דירה
הבנים 27,"8,000 ₪",12,0,ירושלים,78,2 מתוך 2,0,ירושלים והסביבה,דירה
