Address ,Price ,Pay For A Year ,Meters ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
התומר 11,"4,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1116"")>",הוד השרון,75,2 מתוך 2,0,הוד השרון והסביבה,דירה
דרך מגדיאל 69,"11,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1142"")>",חיפה,138,12 מתוך 28,1,חיפה וחוף הכרמל,סאבלט
ארלוזורוב 110,"3,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1168"")>",ראשון לציון,480,קרקע מתוך קרקע,0,"ראשל""צ והסביבה",דירה
החלמונית 34,"7,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1200"")>",ירושלים,106,8 מתוך 9,0,ירושלים והסביבה,דירה
גלבר 20,"6,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1226"")>",עכו,70,1 מתוך 3,0,עכו - נהריה,דירה
דותן 8,"2,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1251"")>",גבעון החדשה,113,5 מתוך 7,0,ירושלים והסביבה,יחידת דיור
כליל החורש 15,"4,300 ₪",12,1,רמלה,115,20 מתוך 22,0,רמלה - לוד,דירה
משה לוי 2,"6,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1303"")>",יבנאל,30,קרקע מתוך 2,1,טבריה והסביבה,דירה
אירוס הגליל 1,"5,000 ₪",12,4,רחובות,110,1 מתוך 6,0,נס ציונה - רחובות,בית פרטי/קוטג'
יעקב תמרי 14,"5,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1359"")>",חיפה,585,קרקע מתוך קרקע,0,חיפה וחוף הכרמל,דירה
"האר""י 4","3,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F064359BBC317682B0C38C726F3646DF_element_1389"")>",הרצליה,87,2 מתוך 9,0,רמת השרון - הרצליה,דירה
הנדיב 9,"8,650 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1487"")>",ראשון לציון,85,3 מתוך 3,1,"ראשל""צ והסביבה",דירה
חיל האוויר 5,0,12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1516"")>",קדימה צורן,120,1 מתוך 1,0,מושבים בשרון,דירה
שבט שמעון 7,"4,000 ₪",12,3.5,באר שבע,60,4 מתוך 4,2,באר שבע והסביבה,מרתף/פרטר
סנהדרין 79,"1,550 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1562"")>",רמת השרון,55,קרקע מתוך קרקע,0,רמת השרון - הרצליה,יחידת דיור
השדות 14,"10,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1588"")>",מגדל העמק,90,1 מתוך 4,1,עמק יזרעאל,דירה
קדש 28,"2,800 ₪",12,3,נהריה,98,3 מתוך 4,0,עכו - נהריה,בית פרטי/קוטג'
וייצמן 57,"4,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1640"")>",אשקלון,78,3 מתוך 4,2,אשדוד - אשקלון,דירה
אלי כהן 59,"3,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1668"")>",מבשרת ציון,100,3 מתוך 9,0,ירושלים והסביבה,דירה
יסמין 50,"6,200 ₪",12,5,תל אביב יפו,110,קרקע מתוך 15,1,תל אביב,יחידת דיור
"ש""ץ 5","9,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1718"")>",חדרה,60,1 מתוך 3,0,חדרה וישובי עמק חפר,דירה
התדהר 3,"2,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1744"")>",אילת,60,קרקע מתוך קרקע,0,אילת והערבה,יחידת דיור
כיכר אריות 3307,"4,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1772"")>",רחובות,55,1 מתוך 2,1,נס ציונה - רחובות,דירה
"ד""ר מוסקוביץ' 26","1,850 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1824"")>",ירושלים,25,קרקע מתוך 3,0,ירושלים והסביבה,מחסן
שלמה בן יוסף 241,"3,700 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1848"")>",קרית ים,167,11 מתוך 14,0,קריות,דירה
יצחק בן צבי 26,"3,200 ₪",12,3,אור עקיבא,80,2 מתוך 4,0,קיסריה והסביבה,דירה
השולמית 1,"4,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1900"")>",גבעתיים,170,קרקע מתוך קרקע,0,רמת גן - גבעתיים,דירה
שמעון בן צבי 36,"9,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1926"")>",רמת גן,115,5 מתוך 7,0,רמת גן - גבעתיים,דירה
ארלוזורוב 9,"6,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1955"")>",כפר סבא,48,1 מתוך 3,0,רעננה - כפר סבא,דירה
השופטים 34,0,12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_1979"")>",גבעת שמואל,80,3 מתוך 3,0,בקעת אונו,יחידת דיור
"הפלמ""ח 12","4,300 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2003"")>",ראשון לציון,100,5 מתוך 12,0,"ראשל""צ והסביבה",דירה
חיל הצנחנים 39,"2,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2031"")>",אשדוד,50,2 מתוך 3,1,אשדוד - אשקלון,יחידת דיור
שוהם 18,"7,950 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2065"")>",אור עקיבא,120,1 מתוך 5,0,קיסריה והסביבה,דירה
החרמון 20,"3,700 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2095"")>",עפולה,50,קרקע מתוך 2,0,עמק יזרעאל,דירה
אורנים 1,"3,700 ₪",11,4,חריש,106,2 מתוך 13,1,פרדס חנה - כרכור,בית פרטי/קוטג'
לוטם 12,"3,600 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2151"")>",ירושלים,350,קרקע מתוך קרקע,0,ירושלים והסביבה,דירה
כובשי קטמון 6,"5,900 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2179"")>",חולון,260,קרקע מתוך קרקע,0,חולון - בת ים,דירה
אילת 10,"4,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2206"")>",אילת,65,2 מתוך 4,0,אילת והערבה,דירה
כיכר צנינית 3,"4,750 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2236"")>",אילת,50,3 מתוך 4,1,אילת והערבה,דירה
אגמונים 215,"3,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2260"")>",קרית ביאליק,125,1 מתוך 1,1,קריות,דירה
דפנה 58,"4,500 ₪",1,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2290"")>",אילת,80,3 מתוך 8,1,אילת והערבה,דירה
החורב 255,"3,600 ₪",12,3,בית שמש,230,12 מתוך 12,0,בית שמש והסביבה,יחידת דיור
העונות 1,"4,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2346"")>",תל אביב יפו,195,10 מתוך 10,0,תל אביב,דירה
הגולן 24,"12,000 ₪",4,4.5,קדימה צורן,114,4 מתוך 6,0,מושבים בשרון,בית פרטי/קוטג'
השיקמים 4,"8,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2399"")>",ירושלים,325,קרקע מתוך 1,0,ירושלים והסביבה,דו משפחתי
שדרות הרצל 97,"5,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2429"")>",לוד,55,2 מתוך 2,0,רמלה - לוד,דירה
אריה רובין 5,"3,099 ₪",12,1,פוריה נווה עובד,105,3 מתוך 4,0,טבריה והסביבה,דירה
הסביונים 1,"3,300 ₪",12,4,כפר יחזקאל,80,1 מתוך 16,0,גליל ועמקים,דירה
ההרחבה 68,0,12,5,אריאל,151,12 מתוך 16,0,יישובי השומרון,יחידת דיור
הערבה 54,"5,300 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2529"")>",פתח תקווה,60,1 מתוך 4,0,פתח תקוה והסביבה,בית פרטי/קוטג'
האחים בכר 5,"6,700 ₪",12,5,אור יהודה,30,1 מתוך 1,1,בקעת אונו,דירה
כנען 1,"10,300 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2581"")>",חדרה,60,4 מתוך 4,0,חדרה וישובי עמק חפר,גג/פנטהאוז
החסידה 10,"5,700 ₪",12,4,רעננה,100,1 מתוך 2,0,רעננה - כפר סבא,דירה
נעמי שמר 22,"8,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2637"")>",זכרון יעקב,70,2 מתוך 3,1,זכרון - בנימינה,דירה
התירוש 9,"4,950 ₪",12,2,ירושלים,70,קרקע מתוך 2,0,ירושלים והסביבה,בית פרטי/קוטג'
בר יוחאי 13,"3,100 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2691"")>",תל אביב יפו,70,4 מתוך 4,1,תל אביב,דירה
יציאת אירופה 20,"3,900 ₪",1,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""C4A0DB307B105FAC47AED153AF94C8D4_element_2721"")>",הרצליה,90,קרקע מתוך קרקע,1,רמת השרון - הרצליה,דירה
ארלוזורוב 8,"7,400 ₪",12,3,באר יעקב,70,קרקע מתוך 3,0,"ראשל""צ והסביבה",דירה
מאיר בעל הנס 15,"5,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_2839"")>",אור יהודה,90,4 מתוך 4,0,בקעת אונו,דירה
תמר 14,"9,300 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_2865"")>",חיפה,30,2 מתוך 3,2,חיפה וחוף הכרמל,דירה
יהודה בורלא 28,"3,400 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_2892"")>",נתניה,53,קרקע מתוך 3,2,נתניה והסביבה,דירה
ה 93 8,"2,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_2917"")>",חולון,70,קרקע מתוך 6,1,חולון - בת ים,דירה
רחבעם זאבי 13,"4,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_2949"")>",רמת גן,35,3 מתוך 4,0,רמת גן - גבעתיים,דירה
מלכי צדק 17,"6,800 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_2973"")>",רמת גן,74,1 מתוך 2,0,רמת גן - גבעתיים,דירה
הירדן 20,"5,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3003"")>",ראשון לציון,70,1 מתוך 4,0,"ראשל""צ והסביבה",דירה
ארלוזורוב 51,"4,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3033"")>",בית שמש,120,1 מתוך 12,0,בית שמש והסביבה,יחידת דיור
הנרקיס 14,"3,600 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3055"")>",תל אביב יפו,89,3 מתוך 3,0,תל אביב,דירה
חכמי אתונה 53,"5,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3079"")>",תל אביב יפו,30,קרקע מתוך 3,0,תל אביב,בית פרטי/קוטג'
סוטין 19,"6,700 ₪",1,3.5,מודיעין מכבים רעות,132,8 מתוך 17,1,מודיעין והסביבה,דירה
ערער 14,"6,450 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3137"")>",אשדוד,75,3 מתוך 4,0,אשדוד - אשקלון,דירה
רבי שלום שבזי 6,"4,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3165"")>",רמת גן,100,8 מתוך 8,1,רמת גן - גבעתיים,דירה
מיכאל 22,"4,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3191"")>",רמת גן,76,4 מתוך 4,0,רמת גן - גבעתיים,דירה
דרך זאב ז'בוטינסקי 20,"5,250 ₪",0,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3221"")>",תל אביב יפו,80,3 מתוך 4,0,תל אביב,דירה
מעפילי אגוז 29,"6,200 ₪",11,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3247"")>",נתניה,45,קרקע מתוך קרקע,1,נתניה והסביבה,דירת גן
שמואל הנציב 10,"3,200 ₪",1,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3275"")>",הרצליה,75,2 מתוך 3,0,רמת השרון - הרצליה,דירה
קדושי השואה 54,"8,200 ₪",12,2,קרית טבעון,120,1 מתוך 6,0,עמק יזרעאל,דירה
מעלה אבשלום 41,"2,500 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3327"")>",הוד השרון,80,2 מתוך 3,0,הוד השרון והסביבה,דירה
התחייה 7,"6,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3353"")>",חולון,44,3 מתוך 3,0,חולון - בת ים,דירה
הנשיאים 3,"8,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3381"")>",באר שבע,12,6 מתוך 9,0,באר שבע והסביבה,דירה
יעקב אבינו 1,"3,300 ₪",0,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3405"")>",זכרון יעקב,92,3 מתוך 3,3,זכרון - בנימינה,דירה
"הפלמ""ח 33","3,000 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3431"")>",רמלה,130,2 מתוך 7,0,רמלה - לוד,יחידת דיור
משה לוי 1,"5,200 ₪",12,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3459"")>",ירושלים,1,2 מתוך 3,0,ירושלים והסביבה,דירה
אברהם אידלזון 28,"5,450 ₪",0,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3483"")>",אילת,80,2 מתוך 3,0,אילת והערבה,דירה
לופית 10,"4,000 ₪",1,"<selenium.webdriver.remote.webelement.WebElement (session=""835a70721e7c0a031266290134a3d3c8"", element=""F4FD6637722624776C57D2B6BEBB3336_element_3511"")>",בת ים,120,5 מתוך 7,1,חולון - בת ים,דירה
